id,total_evs,avg_battery,SUV,Pickup,Sedan,Van
4889,11,88.18181818181819,6,3,2,0
4891,11,88.18181818181819,6,3,2,0
4892,11,88.18181818181819,6,3,2,0
4893,11,88.18181818181819,6,3,2,0
4895,11,88.18181818181819,6,3,2,0
4896,11,88.18181818181819,6,3,2,0
4897,11,88.18181818181819,6,3,2,0
4904,11,88.18181818181819,6,3,2,0
4905,11,88.18181818181819,6,3,2,0
4906,11,88.18181818181819,6,3,2,0
4908,11,88.18181818181819,6,3,2,0
4910,11,88.18181818181819,6,3,2,0
4916,11,88.18181818181819,6,3,2,0
4918,11,88.18181818181819,6,3,2,0
4919,11,88.18181818181819,6,3,2,0
4921,11,88.18181818181819,6,3,2,0
4925,11,88.18181818181819,6,3,2,0
4926,11,88.18181818181819,6,3,2,0
4928,11,88.18181818181819,6,3,2,0
4931,11,88.18181818181819,6,3,2,0
4936,11,88.18181818181819,6,3,2,0
4938,11,88.18181818181819,6,3,2,0
4952,11,88.18181818181819,6,3,2,0
4954,11,88.18181818181819,6,3,2,0
4963,11,88.18181818181819,6,3,2,0
4975,11,88.18181818181819,6,3,2,0
4983,11,88.18181818181819,6,3,2,0
4984,11,88.18181818181819,6,3,2,0
4988,11,88.18181818181819,6,3,2,0
4990,11,88.18181818181819,6,3,2,0
4995,11,88.18181818181819,6,3,2,0
4998,11,88.18181818181819,6,3,2,0
4999,11,88.18181818181819,6,3,2,0
5001,11,88.18181818181819,6,3,2,0
5002,11,88.18181818181819,6,3,2,0
5008,11,88.18181818181819,6,3,2,0
5009,11,88.18181818181819,6,3,2,0
5010,11,88.18181818181819,6,3,2,0
5013,11,88.18181818181819,6,3,2,0
5014,11,88.18181818181819,6,3,2,0
5018,11,88.18181818181819,6,3,2,0
5025,11,88.18181818181819,6,3,2,0
5028,11,88.18181818181819,6,3,2,0
5030,4,75.0,2,0,2,0
5031,11,88.18181818181819,6,3,2,0
5032,4,75.0,2,0,2,0
5039,11,88.18181818181819,6,3,2,0
5044,11,88.18181818181819,6,3,2,0
5047,11,88.18181818181819,6,3,2,0
5053,11,88.18181818181819,6,3,2,0
5065,11,88.18181818181819,6,3,2,0
5071,11,88.18181818181819,6,3,2,0
5072,11,88.18181818181819,6,3,2,0
5078,11,88.18181818181819,6,3,2,0
5081,11,88.18181818181819,6,3,2,0
5083,11,88.18181818181819,6,3,2,0
5107,11,88.18181818181819,6,3,2,0
5109,11,88.18181818181819,6,3,2,0
5126,11,88.18181818181819,6,3,2,0
5129,11,88.18181818181819,6,3,2,0
5130,11,88.18181818181819,6,3,2,0
5134,11,88.18181818181819,6,3,2,0
5135,11,88.18181818181819,6,3,2,0
5137,11,88.18181818181819,6,3,2,0
5147,11,88.18181818181819,6,3,2,0
5148,11,88.18181818181819,6,3,2,0
5149,11,88.18181818181819,6,3,2,0
5153,4,75.0,2,0,2,0
5154,11,88.18181818181819,6,3,2,0
5158,4,75.0,2,0,2,0
5159,4,75.0,2,0,2,0
5160,4,75.0,2,0,2,0
5161,4,75.0,2,0,2,0
5162,4,75.0,2,0,2,0
5168,11,88.18181818181819,6,3,2,0
5172,11,88.18181818181819,6,3,2,0
5174,11,88.18181818181819,6,3,2,0
5178,11,88.18181818181819,6,3,2,0
5183,11,88.18181818181819,6,3,2,0
5184,11,88.18181818181819,6,3,2,0
5185,11,88.18181818181819,6,3,2,0
5187,11,88.18181818181819,6,3,2,0
5188,11,88.18181818181819,6,3,2,0
5189,11,88.18181818181819,6,3,2,0
5193,11,88.18181818181819,6,3,2,0
5194,11,88.18181818181819,6,3,2,0
5195,11,88.18181818181819,6,3,2,0
5196,11,88.18181818181819,6,3,2,0
5199,11,88.18181818181819,6,3,2,0
5209,4,75.0,2,0,2,0
5210,4,75.0,2,0,2,0
5211,4,75.0,2,0,2,0
5212,4,75.0,2,0,2,0
5215,4,75.0,2,0,2,0
5217,4,75.0,2,0,2,0
5219,4,75.0,2,0,2,0
5220,4,75.0,2,0,2,0
5221,4,75.0,2,0,2,0
5223,4,75.0,2,0,2,0
5224,4,75.0,2,0,2,0
5225,4,75.0,2,0,2,0
5226,4,75.0,2,0,2,0
5228,4,75.0,2,0,2,0
5229,4,75.0,2,0,2,0
5231,4,75.0,2,0,2,0
5232,4,75.0,2,0,2,0
5233,4,75.0,2,0,2,0
5234,4,75.0,2,0,2,0
5236,4,75.0,2,0,2,0
5237,4,75.0,2,0,2,0
5244,4,75.0,2,0,2,0
5245,4,75.0,2,0,2,0
5249,4,75.0,2,0,2,0
5251,4,75.0,2,0,2,0
5254,4,75.0,2,0,2,0
5255,4,75.0,2,0,2,0
5258,4,75.0,2,0,2,0
5259,4,75.0,2,0,2,0
5261,4,75.0,2,0,2,0
5264,4,75.0,2,0,2,0
5266,4,75.0,2,0,2,0
5267,4,75.0,2,0,2,0
5269,4,75.0,2,0,2,0
5272,4,75.0,2,0,2,0
5274,4,75.0,2,0,2,0
5276,4,75.0,2,0,2,0
5277,4,75.0,2,0,2,0
5279,4,75.0,2,0,2,0
5280,4,75.0,2,0,2,0
5283,4,75.0,2,0,2,0
5286,4,75.0,2,0,2,0
5289,4,75.0,2,0,2,0
5290,4,75.0,2,0,2,0
5294,4,75.0,2,0,2,0
5296,4,75.0,2,0,2,0
5301,4,75.0,2,0,2,0
5307,4,75.0,2,0,2,0
5312,4,75.0,2,0,2,0
5314,4,75.0,2,0,2,0
5316,4,75.0,2,0,2,0
